hs6,in_new_baci_panel,in_new_mrl_panel,group_baci
070110,1,1,KEPT
070190,0,0,DROPPED
070200,1,1,KEPT
070310,1,1,KEPT
070320,1,1,KEPT
070410,1,1,KEPT
070420,1,1,KEPT
070511,1,1,KEPT
070519,1,1,KEPT
070521,1,1,KEPT
070529,0,0,DROPPED
070610,1,1,KEPT
070690,1,1,KEPT
070700,1,1,KEPT
070810,1,1,KEPT
070820,1,1,KEPT
070890,1,1,KEPT
070920,0,1,DROPPED
070930,1,1,KEPT
070940,0,1,DROPPED
070951,0,1,DROPPED
070959,1,1,KEPT
070960,0,1,DROPPED
070970,0,1,DROPPED
070991,1,1,KEPT
070992,1,1,KEPT
070993,1,1,KEPT
071010,0,0,DROPPED
071021,0,0,DROPPED
071022,0,0,DROPPED
071029,0,0,DROPPED
071030,0,0,DROPPED
071040,0,0,DROPPED
071310,1,1,KEPT
071320,0,0,DROPPED
071331,1,1,KEPT
071332,0,0,DROPPED
071333,0,0,DROPPED
071334,0,0,DROPPED
071335,0,0,DROPPED
071340,1,1,KEPT
071350,0,0,DROPPED
071360,0,0,DROPPED
071410,1,1,KEPT
071420,1,1,KEPT
071430,1,1,KEPT
071440,0,0,DROPPED
071450,0,0,DROPPED
071490,1,1,KEPT
080111,1,1,KEPT
080112,1,1,KEPT
080119,1,1,KEPT
080121,1,1,KEPT
080122,0,0,DROPPED
080131,1,1,KEPT
080132,0,0,DROPPED
080211,1,1,KEPT
080212,0,0,DROPPED
080221,1,1,KEPT
080222,0,0,DROPPED
080231,1,1,KEPT
080232,1,1,KEPT
080241,1,1,KEPT
080242,0,0,DROPPED
080251,1,1,KEPT
080252,0,0,DROPPED
080261,1,1,KEPT
080262,0,0,DROPPED
080270,0,0,DROPPED
080280,1,1,KEPT
080310,1,1,KEPT
080390,1,1,KEPT
080410,1,1,KEPT
080420,1,1,KEPT
080430,1,1,KEPT
080440,1,1,KEPT
080450,1,1,KEPT
080510,1,1,KEPT
080520,1,1,KEPT
080540,1,1,KEPT
080550,1,1,KEPT
080610,1,1,KEPT
080620,0,0,DROPPED
080711,1,1,KEPT
080719,1,1,KEPT
080720,1,1,KEPT
080810,1,1,KEPT
080830,1,1,KEPT
080840,1,1,KEPT
080910,1,1,KEPT
080929,1,1,KEPT
080930,1,1,KEPT
080940,1,1,KEPT
081010,0,1,DROPPED
081020,0,1,DROPPED
081030,0,1,DROPPED
081040,0,1,DROPPED
081050,1,1,KEPT
081060,1,1,KEPT
081070,1,1,KEPT
081110,0,0,DROPPED
081120,0,0,DROPPED
090111,1,1,KEPT
090112,1,1,KEPT
090210,1,1,KEPT
090220,1,1,KEPT
090230,1,1,KEPT
090240,1,1,KEPT
090300,0,0,DROPPED
090411,1,1,KEPT
090412,0,0,DROPPED
090421,0,1,DROPPED
090422,1,1,KEPT
090510,0,0,DROPPED
090520,0,0,DROPPED
090611,1,1,KEPT
090619,1,1,KEPT
090620,0,0,DROPPED
090710,1,1,KEPT
090720,0,0,DROPPED
090811,1,1,KEPT
090812,0,0,DROPPED
090821,1,1,KEPT
090822,0,0,DROPPED
090831,1,1,KEPT
090832,0,0,DROPPED
090921,1,1,KEPT
090922,0,0,DROPPED
090931,1,1,KEPT
090932,0,0,DROPPED
090961,1,1,KEPT
090962,0,0,DROPPED
091011,1,1,KEPT
091012,0,0,DROPPED
091020,1,1,KEPT
091030,1,1,KEPT
100111,1,1,KEPT
100119,1,1,KEPT
100191,1,1,KEPT
100199,1,1,KEPT
100210,1,1,KEPT
100290,0,0,DROPPED
100310,1,1,KEPT
100390,1,1,KEPT
100410,1,1,KEPT
100490,0,0,DROPPED
100510,1,1,KEPT
100590,0,0,DROPPED
100610,1,1,KEPT
100620,1,1,KEPT
100630,1,1,KEPT
100640,1,1,KEPT
100710,1,1,KEPT
100790,0,0,DROPPED
100810,0,0,DROPPED
100821,1,1,KEPT
100829,0,0,DROPPED
100830,0,0,DROPPED
100850,0,0,DROPPED
120110,0,0,DROPPED
120190,1,1,KEPT
120230,0,0,DROPPED
120241,0,0,DROPPED
120242,1,1,KEPT
120300,0,0,DROPPED
120400,1,1,KEPT
120510,1,1,KEPT
120590,0,0,DROPPED
120600,1,1,KEPT
120710,0,0,DROPPED
120721,1,1,KEPT
120729,0,0,DROPPED
120730,1,1,KEPT
120740,1,1,KEPT
120750,1,1,KEPT
120760,1,1,KEPT
120770,0,0,DROPPED
120791,0,0,DROPPED
121010,0,0,DROPPED
121020,0,0,DROPPED
121221,0,0,DROPPED
121291,1,1,KEPT
121292,0,0,DROPPED
121293,1,1,KEPT
121294,0,0,DROPPED
