sample,spec,beta,se,z,p,N,nHS6
FULL_185,S1_pref(ikt+jt),-2.077,0.4328,-4.8,0.0,308994,185
FULL_185,S3_min(ikt+j+t),-2.0358,0.4298,-4.74,0.0,308994,185
FULL_185,S2_cons(ikt+jt+ijk),0.8943,0.4453,2.01,0.0446,128268,185
KEPT_baci,S1_pref(ikt+jt),-2.8781,0.4782,-6.02,0.0,191688,112
KEPT_baci,S3_min(ikt+j+t),-2.8629,0.4882,-5.86,0.0,191688,112
KEPT_baci,S2_cons(ikt+jt+ijk),0.4965,0.5564,0.89,0.3722,85421,112
DROPPED_baci,S1_pref(ikt+jt),-0.3209,0.3838,-0.84,0.403,117306,73
DROPPED_baci,S3_min(ikt+j+t),-0.2201,0.3748,-0.59,0.557,117306,73
DROPPED_baci,S2_cons(ikt+jt+ijk),1.9241,0.7481,2.57,0.0101,42847,73
KEPT_mrl,S1_pref(ikt+jt),-2.8835,0.48,-6.01,0.0,209538,122
KEPT_mrl,S3_min(ikt+j+t),-2.8682,0.4902,-5.85,0.0,209538,122
KEPT_mrl,S2_cons(ikt+jt+ijk),0.4866,0.5561,0.88,0.3815,91394,122
